Name,IPEDS_UNITID,University,JoinYear,Rank,Subfield,Bachelors,Masters,Doctorate,PostDoc,Sources1,Sources2,Sources3,Sources4
David O'Hallaron,211440,Carnegie Mellon University,1989,Full,Scientific Computing,Virginia Polytechnic Institute and State University - USA,University of Virginia - USA,University of Virginia - USA,,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/droh/www/drohcv.pdf,,,
Edmund M. Clarke,211440,Carnegie Mellon University,1982,Full,Hardware & Architecture,University of Virginia - USA,Duke University - USA,Cornell University - USA,,http://www.cs.cmu.edu/~emc/bio.html,,,
Emma Brunskill,211440,Carnegie Mellon University,2011,Assistant,Artificial Intelligence,,,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,http://www.cs.cmu.edu/~ebrun/,,,
Eric Nyberg,211440,Carnegie Mellon University,,Full,Natural Language & Speech,,,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~ehn/,,,
Eric Poe Xing,211440,Carnegie Mellon University,2004,Associate,Machine Learning & Pattern Recognition,Tsinghua University - Beijing - China,Rutgers - State University of New Jersey - New Brunswick - USA,University of California - Berkeley - USA,,http://www.cs.cmu.edu/~epxing/xing_cv_2013.pdf,,,
Frank Pfenning,211440,Carnegie Mellon University,1986,Full,Programming Languages,Technische Universität Darmstadt - Germany,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~fp/cv.html,,,
Garth Gibson,211440,Carnegie Mellon University,1991,Full,Hardware & Architecture,University of Waterloo - Ontario - Canada,University of California - Berkeley - USA,University of California - Berkeley - USA,,http://www.cs.cmu.edu/~garth/#bio,,,
Gary Miller,211440,Carnegie Mellon University,,Full,Distributed & Parallel Computing,,,University of California - Berkeley - USA,,http://www.cs.cmu.edu/~glmiller/,http://en.wikipedia.org/wiki/Gary_Miller_(computer_scientist),,
Ge Yang,211440,Carnegie Mellon University,2008,Assistant,Bioinformatics & Computational Biology,Tsinghua University - Beijing - China,Chinese Academy of Sciences - China,University of Minnesota - Twin Cities - USA,Scripps Research Institute - USA,http://www.andrew.cmu.edu/user/geyang/,,,
Greg Ganger,211440,Carnegie Mellon University,,Full,Operating Systems,University of Michigan - USA,University of Michigan - USA,University of Michigan - USA,Massachusetts Institute of Technology - USA,http://www.ece.cmu.edu/~ganger/,,,
Gustavo Rohde,211440,Carnegie Mellon University,2007,Associate,Bioinformatics & Computational Biology,Vanderbilt University - USA,Vanderbilt University - USA,University of Maryland - College Park - USA,,http://www.andrew.cmu.edu/user/gustavor/rohde_cv.pdf,,,
Guy Blelloch,211440,Carnegie Mellon University,,Full,Distributed & Parallel Computing,Swarthmore College - USA,,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/~guyb/,http://www.linkedin.com/pub/guy-blelloch/a/725/570,,
Howie Choset,211440,Carnegie Mellon University,,Full,Artificial Intelligence,University of Pennsylvania - USA,California Institute of Technology - USA,California Institute of Technology - USA,,http://www.cs.cmu.edu/~choset/bio.html,,,
Hui Zhang,211440,Carnegie Mellon University,,Full,Networks & Communications,Peking University - Beijing - China,Rensselaer Polytechnic Institute - USA,University of California - Berkeley - USA,,http://www-2.cs.cmu.edu/~hzhang/,https://www.cylab.cmu.edu/education/faculty/zhang-h.html,,
J. Andrew (Drew) Bagnell,211440,Carnegie Mellon University,2000,Associate,Artificial Intelligence,University of Florida - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cmu.edu/qolt/People/researchers/bagnell-drew.html,,,
J. Zico Kolter,211440,Carnegie Mellon University,2012,Assistant,Real-Time & Embedded Systems,Georgetown University - USA,,Stanford University - USA,Massachusetts Institute of Technology - USA,http://www.cs.cmu.edu/~zkolter/,http://doczine.com/bigdata/1/1376355054_5f80dd43bd/jzico.kolter.cv.pdf,,
Jacobo Carrasquel,211440,Carnegie Mellon University,1980,Associate,Computer Education,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~jxc/bio.html,,,
Jaime Carbonell,211440,Carnegie Mellon University,1995,Full,Artificial Intelligence,Massachusetts Institute of Technology - USA,Yale University - USA,Yale University - USA,,http://www.cs.cmu.edu/~jgc/CVs/Carbonell%20CV%202014-Feb.pdf,,,
James C. Hoe,211440,Carnegie Mellon University,,Associate,Hardware & Architecture,University of California - Berkeley - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://users.ece.cmu.edu/~jhoe/,,,
James Herbsleb,211440,Carnegie Mellon University,1994,Full,Software Engineering,Monmouth College - USA,University of Nebraska - Lincoln - USA,University of Nebraska - Lincoln - USA,University of Michigan - USA,http://herbsleb.org/,http://herbsleb.org/current-vita.pdf,,
James Morris,211440,Carnegie Mellon University,1982,Full,Programming Languages,Carnegie Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/~jhm/vita.htm,,,
Jamie Callan,211440,Carnegie Mellon University,1999,Full,Information Retrieval,University of Connecticut - USA,University of Massachusetts - Amherst - USA,University of Massachusetts - Amherst - USA,,http://www.cs.cmu.edu/~callan/Bio.html,http://www.heinz.cmu.edu/faculty-and-research/faculty-profiles/faculty-details/index.aspx?faculty_id=12,,
Jason Hong,211440,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,Georgia Institute of Technology - USA,Georgia Institute of Technology - USA,University of California - Berkeley - USA,,http://www.cs.cmu.edu/~jasonh/research/cv/cv.pdf,,,
Javier Lopez,211440,Carnegie Mellon University,,Associate,Bioinformatics & Computational Biology,,,Duke University - USA,Stanford University - USA,http://www.cmu.edu/bio/faculty/lopez.html,,,
Jeannette M. Wing,211440,Carnegie Mellon University,1985,Full,Programming Languages,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/afs/cs.cmu.edu/user/wing/www/resume.pdf,,,
Jeffrey Bigham,211440,Carnegie Mellon University,2013,Associate,Human-Computer Interaction,Princeton University - USA,University of Washington - USA,University of Washington - USA,,http://www.cs.cmu.edu/~jbigham/,,,
Jeffrey Eppinger,211440,Carnegie Mellon University,2001,Full,Software Engineering,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://www.jeffeppinger.com/jle/projects.html,,,
Jennifer Mankoff,211440,Carnegie Mellon University,2004,Associate,Human-Computer Interaction,Oberlin College - USA,,Georgia Institute of Technology - USA,,http://www.cs.cmu.edu/~jmankoff/cv.pdf,,,
Jessica Hammer,211440,Carnegie Mellon University,2014,Assistant,Human-Computer Interaction,Harvard University - USA,New York University - USA,Columbia University - USA,,http://dl.dropboxusercontent.com/u/789795/Hammer%20CV.pdf,,,
Jessica Hodgins,211440,Carnegie Mellon University,2000,Full,Graphics,,,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~jkh/,,,
Jodi Forlizzi,211440,Carnegie Mellon University,2000,Associate,Human-Computer Interaction,Philadelphia College of Art - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://goodgestreet.com/docs/Forlizzi13vitae.pdf,,,
John Anderson,211440,Carnegie Mellon University,1978,Full,Human-Computer Interaction,University of British Columbia - Canada,,Stanford University - USA,,http://act-r.psy.cmu.edu/peoplepages/ja/ja-vita.php,,,
John Zimmerman,211440,Carnegie Mellon University,2002,Associate,Human-Computer Interaction,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,,http://www.cs.cmu.edu/~johnz/,,,
Jonathan Aldrich,211440,Carnegie Mellon University,2003,Associate,Scientific Computing,University of Washington - USA,,University of Washington - USA,,http://www.cs.cmu.edu/~aldrich/,,,
Justine Cassell,211440,Carnegie Mellon University,2010,Full,Human-Computer Interaction,Dartmouth College - USA,University of Edinburgh - United Kingdom,University of Chicago - USA,,http://en.wikipedia.org/wiki/Justine_Cassell,http://www.weforum.org/contributors/justine-cassell,,
Karl Crary,211440,Carnegie Mellon University,1998,Associate,Programming Languages,Carnegie Mellon University - USA,,Cornell University - USA,,http://www.cs.cmu.edu/~crary/,,,
Kathleen M. Carley,211440,Carnegie Mellon University,1984,Full,Human-Computer Interaction,Massachusetts Institute of Technology - USA,,Harvard University - USA,,http://public.tepper.cmu.edu/facultydirectory/FacultyDirectoryPrintable.aspx?id=151,,,
Kathryn Roeder,211440,Carnegie Mellon University,1994,Full,Bioinformatics & Computational Biology,University of Idaho - USA,,Pennsylvania State University - USA,,http://www.stat.cmu.edu/~roeder/vita.pdf,,,
Kayvon Fatahalian,211440,Carnegie Mellon University,2011,Assistant,Human-Computer Interaction,,,Stanford University - USA,,https://www.cs.cmu.edu/~kayvonf/,,,
Ken Koedinger,211440,Carnegie Mellon University,1990,Full,Human-Computer Interaction,University of Wisconsin - Madison - USA,University of Wisconsin - Madison - USA,Carnegie Mellon University - USA,,http://pact.cs.cmu.edu/koedinger/koedingerCV.html,,,
Larry Wasserman,211440,Carnegie Mellon University,,Full,Algorithms & Theory,,,University of Toronto - Canada,,http://www.stat.cmu.edu/~larry/,,,
Laura Dabbish,211440,Carnegie Mellon University,,Associate,Human-Computer Interaction,University of Southern California - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,http://lauradabbish.com/,http://www.heinz.cmu.edu/faculty-and-research/faculty-profiles/faculty-details/index.aspx?faculty_id=27,,
Lenore Blum,211440,Carnegie Mellon University,1999,Full,Algorithms & Theory,Carnegie Institute of Technology - USA,Carnegie Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of California - Berkeley - USA,http://www.cs.cmu.edu/~lblum/#Biography,,,
Lorrie Cranor,211440,Carnegie Mellon University,2003,Associate,Security & Privacy,Washington University - St. Louis - USA,Washington University - St. Louis - USA,Washington University - St. Louis - USA,,http://lorrie.cranor.org/,,,
Luis VonAhn,211440,Carnegie Mellon University,2006,Associate,Human-Computer Interaction,Duke University - USA,,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~biglou/LuisvonAhn_CV.pdf,,,
Mahadev Satyanarayanan,211440,Carnegie Mellon University,,Full,Security & Privacy,Indian Institute of Technology - Madras - India,Indian Institute of Technology - Madras - India,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~satya/bio.html,,,
Manuel Blum,211440,Carnegie Mellon University,2001,Full,Algorithms & Theory,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/~mblum/pdfs/manuel_blum_cv.pdf,,,
Manuela Veloso,211440,Carnegie Mellon University,1997,Full,Artificial Intelligence,Instituto Superior Tecnico - Lisbon - Portugal,Boston University - USA,Carnegie Mellon University - USA,,http://www.cs.cmu.edu/~mmv/VelosoShortCV2012.pdf,,,
Mary Shaw,211440,Carnegie Mellon University,,Full,Software Engineering,Rice University - USA,,Carnegie Mellon University - USA,,http://spoke.compose.cs.cmu.edu/shaweb/a/about.htm,,,
Matt Mason,211440,Carnegie Mellon University,1982,Full,Artificial Intelligence,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/~mason/mattscv.pdf,,,
Michael Erdmann,211440,Carnegie Mellon University,1989,Full,Bioinformatics & Computational Biology,University of Washington - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,http://www.cs.cmu.edu/~me/cv.txt,,,
Michael Shamos,211440,Carnegie Mellon University,1975,Full,Scientific Computing,Princeton University - USA,Vassar College - USA,Yale University - USA,,http://euro.ecom.cmu.edu/shamos.html,,,
Mor Harchol-Balter,211440,Carnegie Mellon University,1999,Associate,Scientific Computing,Brandeis University - USA,,University of California - Berkeley - USA,,http://www.cs.cmu.edu/~harchol/cv.pdf,,,
Nancy Pollard,211440,Carnegie Mellon University,,Associate,Human-Computer Interaction,,,Massachusetts Institute of Technology - USA,,http://graphics.cs.cmu.edu/nsp/index.html,,,
Noah Smith,211440,Carnegie Mellon University,2006,Associate,Natural Language & Speech,University of Maryland - College Park - USA,Johns Hopkins University - USA,Johns Hopkins University - USA,,http://www.cs.cmu.edu/~nasmith/index.html#cv,,,
Norman M Sadeh,211440,Carnegie Mellon University,1991,Full,Security & Privacy,Free University of Brussels - Belgium,University of Southern California - USA,Carnegie Mellon University - USA,,http://www.normsadeh.org/short-narrative/,,,
Onur Mutlu,211440,Carnegie Mellon University,2009,Assistant,Hardware & Architecture,University of Michigan - USA,University of Texas - Austin - USA,University of Texas - Austin - USA,,http://users.ece.cmu.edu/~omutlu/doc/onur_cv.pdf,,,
Peter Steenkiste,211440,Carnegie Mellon University,,Full,Artificial Intelligence,Ghent University - Belgium,Stanford University - USA,Stanford University - USA,,http://www.cs.cmu.edu/~prs/bio.html,,,
Raj Reddy,211440,Carnegie Mellon University,1969,Full,Artificial Intelligence,University of Madras - India,University of New South Wales - Australia,Stanford University - USA,Stanford University - USA,http://www.rr.cs.cmu.edu/,,,
