UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
104179,60,17,2,1,"R",2066,"R",1076,"R",990,"R",24,"R",9,"R",15,"R",105,"R",54,"R",51,"R",78,"R",49,"R",29,"R",558,"R",271,"R",287,"R",3,"R",1,"R",2,"R",1130,"R",603,"R",527,"R",83,"R",35,"R",48,"R",36,"R",22,"R",14,"R",49,"R",32,"R",17
110404, 1,29,3,4,"R",2181,"R",1497,"R",684,"R",8,"R",5,"R",3,"R",559,"R",312,"R",247,"R",30,"R",23,"R",7,"R",148,"R",116,"R",32,"R",5,"R",2,"R",3,"R",771,"R",540,"R",231,"R",68,"R",39,"R",29,"R",11,"R",9,"R",2,"R",581,"R",451,"R",130
110404, 2,99,3,1,"R",977,"R",619,"R",358,"R",3,"R",2,"R",1,"R",415,"R",220,"R",195,"R",17,"R",14,"R",3,"R",98,"R",81,"R",17,"Z",0,"Z",0,"Z",0,"R",297,"R",202,"R",95,"R",58,"R",34,"R",24,"R",2,"R",2,"Z",0,"R",87,"R",64,"R",23
110404, 3,99,3,1,"R",977,"R",619,"R",358,"R",3,"R",2,"R",1,"R",415,"R",220,"R",195,"R",17,"R",14,"R",3,"R",98,"R",81,"R",17,"Z",0,"Z",0,"Z",0,"R",297,"R",202,"R",95,"R",58,"R",34,"R",24,"R",2,"R",2,"Z",0,"R",87,"R",64,"R",23
110404, 4,99,3,1,"R",248,"R",160,"R",88,"Z",0,"Z",0,"Z",0,"R",119,"R",68,"R",51,"R",4,"R",3,"R",1,"R",25,"R",22,"R",3,"Z",0,"Z",0,"Z",0,"R",67,"R",46,"R",21,"R",11,"R",8,"R",3,"Z",0,"Z",0,"Z",0,"R",22,"R",13,"R",9
110404, 5,99,3,1,"R",729,"R",459,"R",270,"R",3,"R",2,"R",1,"R",296,"R",152,"R",144,"R",13,"R",11,"R",2,"R",73,"R",59,"R",14,"Z",0,"Z",0,"Z",0,"R",230,"R",156,"R",74,"R",47,"R",26,"R",21,"R",2,"R",2,"Z",0,"R",65,"R",51,"R",14
110404,12,99,3,3,"R",1204,"R",878,"R",326,"R",5,"R",3,"R",2,"R",144,"R",92,"R",52,"R",13,"R",9,"R",4,"R",50,"R",35,"R",15,"R",5,"R",2,"R",3,"R",474,"R",338,"R",136,"R",10,"R",5,"R",5,"R",9,"R",7,"R",2,"R",494,"R",387,"R",107
110404,19,99,3,1,"R",7,"R",6,"R",1,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",3,"R",1
110404,20,99,3,1,"R",722,"R",453,"R",269,"R",3,"R",2,"R",1,"R",296,"R",152,"R",144,"R",13,"R",11,"R",2,"R",73,"R",59,"R",14,"Z",0,"Z",0,"Z",0,"R",227,"R",153,"R",74,"R",47,"R",26,"R",21,"R",2,"R",2,"Z",0,"R",61,"R",48,"R",13
110404,21,14,1,4,"R",2181,"R",1497,"R",684,"R",8,"R",5,"R",3,"R",559,"R",312,"R",247,"R",30,"R",23,"R",7,"R",148,"R",116,"R",32,"R",5,"R",2,"R",3,"R",771,"R",540,"R",231,"R",68,"R",39,"R",29,"R",11,"R",9,"R",2,"R",581,"R",451,"R",130
110404,22, 8,1,1,"R",977,"R",619,"R",358,"R",3,"R",2,"R",1,"R",415,"R",220,"R",195,"R",17,"R",14,"R",3,"R",98,"R",81,"R",17,"Z",0,"Z",0,"Z",0,"R",297,"R",202,"R",95,"R",58,"R",34,"R",24,"R",2,"R",2,"Z",0,"R",87,"R",64,"R",23
110404,23, 6,1,1,"R",977,"R",619,"R",358,"R",3,"R",2,"R",1,"R",415,"R",220,"R",195,"R",17,"R",14,"R",3,"R",98,"R",81,"R",17,"Z",0,"Z",0,"Z",0,"R",297,"R",202,"R",95,"R",58,"R",34,"R",24,"R",2,"R",2,"Z",0,"R",87,"R",64,"R",23
